Waktu (WIB),Nomor WhatsApp,Nama Pelanggan,Status Lead,Kategori Niat,Suhu & Skor,Admin Bertugas,Pesan Masuk,Ringkasan AI,Draf Balasan CS,Tindakan Operasional,Status Follow-Up
"23/9/2026, 19.29.42","628987881806","Annisa Indriyani","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 19.26.34","6285747298096","Adzkiya Motor","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 19.21.38","6288215780847",".","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 19.19.00","6289670249779","Aninditya R","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 19.05.59","6282325537189","naya","ENGAGED","","COLD (25)","Admin CS","","","","","COMPLETED"
"23/9/2026, 19.04.35","6283890345295","Amalia Rosita","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 19.00.45","62895342111557","Endang","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 18.58.15","62895333354777","yumna nadira","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 18.56.25","6285712415379","ifandwiramadan","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 18.55.26","6285786833615","sabnalutfikaam","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 18.55.01","6282134068772","Yunitaa Kinthan","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 18.51.43","6285290911594","ayyaaa","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 18.42.44","6281324459784","Will","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 18.40.52","6285172009525","Isanurfathoni","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 18.33.05","6281326792050","ikarohanna","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 18.29.18","6287784589431","marr","ENGAGED","","COLD (30)","Admin CS","","","","","COMPLETED"
"23/9/2026, 18.28.46","6282138598243","Nu","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 18.25.34","6281215432766","dini~","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 18.21.53","6281316155532","asha","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 09.00.00","6280023215","Nashita cahyaningrum","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"22/9/2026, 12.00.00","6280022212","Binta","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"22/9/2026, 12.00.00","6280022210","Yunita","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"20/9/2026, 12.00.00","6280020203","Fahdi Ramadhan","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"17/9/2026, 12.00.00","6280017183","susi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"16/9/2026, 12.00.00","6280016174","Alif","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"15/9/2026, 12.00.00","6280015156","Marcel","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"13/9/2026, 12.00.00","6280013144","KKN 100","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"12/9/2026, 12.00.00","6280012126","M adzki alfathin dp","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"12/9/2026, 12.00.00","6280012128","KKN TRIBUANA","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"9/9/2026, 12.00.00","6280009111","Tamalia Agustin","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"9/9/2026, 12.00.00","6280009108","Andin","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
